prod_year,mileage,manufacturer,model,category,turbo
-0.23424344825004026,0.4284799002869508,14.0,249.0,4.0,1.0
-0.042218681743808245,0.4867988501909916,2.0,132.0,4.0,1.0
-1.0023425142749682,0.5646223029403371,7.0,137.0,3.0,1.0
-0.042218681743808245,0.2627256738624386,6.0,133.0,4.0,1.0
0.5338556177748878,-0.48695737440360015,7.0,137.0,3.0,1.0
0.9179051507873518,0.18456174350731472,8.0,261.0,4.0,1.0
-0.23424344825004026,1.1376850251917363,26.0,236.0,3.0,1.0
0.3418308512686558,0.721417104367081,8.0,268.0,9.0,1.0
0.5338556177748878,2.491423985766601,26.0,84.0,9.0,1.0
-0.8103177477687363,-0.13092480600693823,14.0,247.0,4.0,1.0
0.5338556177748878,0.4135183414958892,16.0,124.0,9.0,1.0
-2.3465158798185923,-1.3809640157933,6.0,283.0,6.0,1.0
-2.7305654128310564,2.023812041990565,20.0,290.0,2.0,1.0
0.3418308512686558,-0.03813979446653106,14.0,249.0,4.0,1.0
0.9179051507873518,-0.641641214674518,8.0,261.0,4.0,1.0
1.301954683799816,-0.6596767998491788,26.0,59.0,4.0,1.0
0.9179051507873518,-0.19571283042076834,8.0,127.0,9.0,1.0
0.9179051507873518,-0.8525719554200253,8.0,127.0,9.0,1.0
-1.0023425142749682,1.4893497523028412,8.0,268.0,9.0,1.0
-0.6182929812625043,2.165090792525408,14.0,248.0,4.0,1.0
0.14980608476242377,-0.2851611614245473,8.0,127.0,9.0,1.0
0.14980608476242377,0.43815919222265065,26.0,236.0,9.0,1.0
1.109929917293584,-0.9946775801403301,26.0,84.0,9.0,1.0
-1.9624663468061285,0.8564602507503827,6.0,283.0,6.0,0.0
-3.1146149458435204,-1.3809640157933,20.0,290.0,9.0,1.0
-1.0023425142749682,0.6619016188770189,16.0,117.0,9.0,0.0
-0.6182929812625043,-1.3809640157933,14.0,157.0,4.0,1.0
-0.6182929812625043,0.26305642353662334,26.0,236.0,9.0,1.0
-0.042218681743808245,0.16370505817049014,8.0,127.0,9.0,1.0
-0.4262682147562723,2.710117615923856,26.0,169.0,4.0,1.0
-0.8103177477687363,0.37006367106697335,16.0,297.0,2.0,0.0
0.5338556177748878,0.32196877726787787,21.0,91.0,4.0,1.0
-2.1544911133123605,0.5646223029403371,1.0,305.0,4.0,1.0
-0.6182929812625043,1.4136178048461343,26.0,169.0,9.0,1.0
-0.8103177477687363,1.0510188826237463,11.0,163.0,4.0,0.0
-0.042218681743808245,0.19496090238094602,8.0,261.0,4.0,1.0
-0.23424344825004026,0.15604917600627327,7.0,137.0,3.0,1.0
0.14980608476242377,-0.37422037516457957,8.0,127.0,9.0,1.0
-0.23424344825004026,2.3423628899568234,14.0,249.0,4.0,1.0
0.3418308512686558,0.5957516840400753,26.0,84.0,9.0,1.0
0.9179051507873518,-0.7870056964787017,8.0,167.0,10.0,1.0
0.9179051507873518,-1.2720111819442164,28.0,182.0,9.0,0.0
0.5338556177748878,-0.009325661086085894,8.0,268.0,9.0,1.0
-0.23424344825004026,0.1780245734763697,21.0,91.0,4.0,1.0
0.3418308512686558,0.9473385876984308,26.0,276.0,4.0,1.0
0.14980608476242377,-0.1357887718037723,26.0,237.0,3.0,1.0
1.109929917293584,-0.4010305546367291,8.0,261.0,4.0,1.0
0.14980608476242377,-0.004461695289251801,26.0,46.0,3.0,1.0
0.9179051507873518,-0.5271629156802308,7.0,96.0,9.0,1.0
0.7258803842811198,1.1873461159774124,0.0,240.0,4.0,1.0
1.109929917293584,-1.365399325243431,16.0,122.0,9.0,1.0
0.5338556177748878,-0.5346339671441679,0.0,239.0,4.0,1.0
-1.9624663468061285,1.1482981985604281,16.0,72.0,1.0,1.0
1.493979450306048,-1.3291822359202043,16.0,148.0,4.0,0.0
0.7258803842811198,-0.5335444388056771,19.0,184.0,4.0,1.0
0.14980608476242377,0.6066275115617963,1.0,24.0,9.0,1.0
1.301954683799816,-1.1669495207326,2.0,107.0,9.0,0.0
0.3418308512686558,-0.5735456935188407,6.0,146.0,9.0,0.0
-0.8103177477687363,0.2727843551302915,26.0,289.0,7.0,1.0
0.3418308512686558,1.6552985373592268,19.0,184.0,4.0,1.0
-1.3863920472874323,-0.11633290861643594,16.0,37.0,9.0,1.0
0.3418308512686558,0.5673363958549705,8.0,286.0,4.0,1.0
0.7258803842811198,4.182624893325816,8.0,268.0,9.0,1.0
0.5338556177748878,0.12367461966254555,8.0,167.0,7.0,1.0
0.9179051507873518,-0.3014651747755352,8.0,167.0,7.0,1.0
0.3418308512686558,0.8127818378948125,26.0,84.0,9.0,1.0
-1.9624663468061285,0.6619016188770189,26.0,298.0,3.0,1.0
0.7258803842811198,0.05979129288692657,8.0,167.0,10.0,1.0
-0.042218681743808245,1.1040944773988,2.0,89.0,4.0,1.0
1.109929917293584,-0.29490854888140283,8.0,167.0,10.0,1.0
0.9179051507873518,-0.5588954285387764,8.0,261.0,4.0,1.0
-0.042218681743808245,1.4206802831831375,26.0,236.0,3.0,1.0
0.9179051507873518,-0.6513691462681862,6.0,216.0,0.0,0.0
0.5338556177748878,-0.46301693475158273,16.0,200.0,4.0,1.0
0.14980608476242377,0.32142401309863244,26.0,236.0,9.0,1.0
-0.6182929812625043,1.1793303003442297,14.0,157.0,4.0,1.0
-0.4262682147562723,0.5024997317831721,6.0,133.0,4.0,1.0
-0.23424344825004026,1.1957413209427479,26.0,169.0,4.0,1.0
1.493979450306048,-1.1119283396388129,26.0,311.0,9.0,1.0
0.5338556177748878,-1.2253171102946092,7.0,96.0,9.0,1.0
-2.5385406463248246,-1.3809640157933,7.0,104.0,4.0,1.0
0.14980608476242377,0.5164982253464606,26.0,84.0,9.0,1.0
0.14980608476242377,-0.20036278172254174,8.0,127.0,9.0,1.0
0.5338556177748878,-0.7078787008958046,8.0,261.0,4.0,1.0
0.14980608476242377,-0.5735456935188407,7.0,137.0,3.0,1.0
-0.23424344825004026,-0.9843367888562609,2.0,106.0,9.0,1.0
0.14980608476242377,0.29224021831762786,2.0,224.0,4.0,1.0
0.14980608476242377,0.06084190949904273,24.0,141.0,4.0,1.0
-0.6182929812625043,-0.3765939904734346,3.0,190.0,9.0,1.0
0.9179051507873518,-0.35569839341023535,8.0,127.0,9.0,1.0
-2.7305654128310564,-1.3809640157933,7.0,96.0,3.0,1.0
-1.3863920472874323,0.7008133452516917,16.0,123.0,9.0,1.0
-0.4262682147562723,-0.18106256544070404,8.0,158.0,1.0,1.0
0.5338556177748878,-0.5946844888718816,2.0,106.0,9.0,1.0
0.3418308512686558,-0.7538626335390742,21.0,30.0,1.0,1.0
0.7258803842811198,-0.48832901275830737,6.0,146.0,9.0,1.0
-0.23424344825004026,1.2965518760479313,14.0,156.0,4.0,1.0
-1.3863920472874323,1.5374154623071556,16.0,272.0,6.0,0.0
-0.8103177477687363,1.7164094036306503,26.0,236.0,3.0,1.0
0.3418308512686558,-0.04043558632263675,1.0,305.0,4.0,1.0
0.3418308512686558,0.09365422276448553,1.0,24.0,9.0,1.0
0.9179051507873518,-0.34007533527080425,12.0,233.0,3.0,1.0
-0.6182929812625043,0.6658706149672355,1.0,12.0,9.0,1.0
1.109929917293584,-0.40265511921287167,6.0,134.0,4.0,1.0
0.9179051507873518,-0.5443618987378361,8.0,167.0,10.0,1.0
-0.23424344825004026,-0.18695769198646697,8.0,127.0,9.0,1.0
-1.1943672807812002,0.019858133694918664,18.0,43.0,4.0,1.0
-2.7305654128310564,-0.40817085642648154,18.0,192.0,9.0,1.0
-1.5784168137936645,0.35060780787963697,7.0,137.0,3.0,1.0
0.3418308512686558,-0.5472413664895619,23.0,186.0,4.0,1.0
-0.23424344825004026,-0.8073857131674366,8.0,261.0,4.0,1.0
0.3418308512686558,-0.5054501723631634,26.0,84.0,9.0,1.0
0.5338556177748878,-1.3809640157933,15.0,26.0,9.0,1.0
-0.4262682147562723,1.7160008305037162,26.0,169.0,9.0,1.0
0.7258803842811198,-0.6858643916993336,6.0,146.0,9.0,1.0
0.14980608476242377,-1.3809640157933,26.0,84.0,9.0,1.0
0.5338556177748878,1.9894724434649163,8.0,268.0,9.0,1.0
